Время;Давление, атм
14.03.2024 15:23:41:533;3,86
14.03.2024 15:23:41:611;3,86
14.03.2024 15:23:41:689;3,86
14.03.2024 15:23:41:767;3,87
14.03.2024 15:23:41:845;3,88
14.03.2024 15:23:42:080;3,88
14.03.2024 15:23:42:174;3,88
14.03.2024 15:23:42:329;3,88
14.03.2024 15:23:42:408;3,88
14.03.2024 15:23:42:501;3,89
14.03.2024 15:23:42:580;3,89
14.03.2024 15:23:42:658;3,89
14.03.2024 15:23:42:736;3,9
14.03.2024 15:23:43:048;3,9
14.03.2024 15:23:43:127;3,9
14.03.2024 15:23:43:205;3,9
14.03.2024 15:23:43:283;3,91
14.03.2024 15:23:43:361;3,9
14.03.2024 15:23:43:439;3,9
14.03.2024 15:23:43:518;3,91
14.03.2024 15:23:43:596;3,92
14.03.2024 15:23:43:674;3,92
14.03.2024 15:23:43:752;3,91
14.03.2024 15:23:43:830;3,91
14.03.2024 15:23:43:908;3,93
14.03.2024 15:23:44:065;3,93
14.03.2024 15:23:44:142;3,93
14.03.2024 15:23:44:299;3,93
14.03.2024 15:23:44:377;3,94
14.03.2024 15:23:44:690;3,94
14.03.2024 15:23:44:768;3,94
14.03.2024 15:23:44:846;3,95
14.03.2024 15:23:44:924;3,95
14.03.2024 15:23:45:002;3,96
14.03.2024 15:23:45:081;3,96
14.03.2024 15:23:45:158;3,96
14.03.2024 15:23:45:237;3,95
14.03.2024 15:23:45:315;3,96
14.03.2024 15:23:45:393;3,96
14.03.2024 15:23:45:471;3,96
14.03.2024 15:23:45:550;3,97
14.03.2024 15:23:45:643;3,97
14.03.2024 15:23:45:721;3,97
14.03.2024 15:23:45:800;3,97
14.03.2024 15:23:45:877;3,97
14.03.2024 15:23:45:971;3,97
14.03.2024 15:23:46:206;3,97
14.03.2024 15:23:46:284;3,98
14.03.2024 15:23:46:362;3,97
14.03.2024 15:23:46:440;3,97
14.03.2024 15:23:46:518;3,98
14.03.2024 15:23:46:597;3,98
14.03.2024 15:23:46:675;3,99
14.03.2024 15:23:46:831;3,99
14.03.2024 15:23:46:909;3,99
14.03.2024 15:23:47:003;4
14.03.2024 15:23:47:159;4
14.03.2024 15:23:47:237;4,01
14.03.2024 15:23:47:315;4,01
14.03.2024 15:23:47:393;4,01
14.03.2024 15:23:47:472;4,01
14.03.2024 15:23:47:550;4,01
14.03.2024 15:23:47:628;4,01
14.03.2024 15:23:47:706;4,02
14.03.2024 15:23:47:785;4,02
14.03.2024 15:23:47:863;4,02
14.03.2024 15:23:48:097;4,02
14.03.2024 15:23:48:175;4,03
14.03.2024 15:23:48:488;4,03
14.03.2024 15:23:48:566;4,04
14.03.2024 15:23:48:644;4,05
14.03.2024 15:23:48:800;4,05
14.03.2024 15:23:48:879;4,05
14.03.2024 15:23:49:035;4,05
14.03.2024 15:23:49:113;4,06
14.03.2024 15:23:49:191;4,07
14.03.2024 15:23:49:269;4,07
14.03.2024 15:23:49:347;4,07
14.03.2024 15:23:49:425;4,07
14.03.2024 15:23:49:504;4,08
14.03.2024 15:23:49:582;4,07
14.03.2024 15:23:49:660;4,08
14.03.2024 15:23:49:738;4,09
14.03.2024 15:23:49:894;4,09
14.03.2024 15:23:49:973;4,1
14.03.2024 15:23:50:129;4,1
14.03.2024 15:23:50:207;4,1
14.03.2024 15:23:50:285;4,11
14.03.2024 15:23:50:363;4,12
14.03.2024 15:23:50:441;4,12
14.03.2024 15:23:50:519;4,12
14.03.2024 15:23:50:598;4,13
14.03.2024 15:23:50:754;4,13
14.03.2024 15:23:50:832;4,13
14.03.2024 15:23:50:989;4,13
14.03.2024 15:23:51:067;4,15
14.03.2024 15:23:51:145;4,15
14.03.2024 15:23:51:223;4,15
14.03.2024 15:23:51:301;4,16
14.03.2024 15:23:51:379;4,17
14.03.2024 15:23:51:457;4,17
14.03.2024 15:23:51:535;4,17
14.03.2024 15:23:51:614;4,18
14.03.2024 15:23:51:692;4,18
14.03.2024 15:23:51:770;4,18
14.03.2024 15:23:51:848;4,19
14.03.2024 15:23:51:927;4,19
14.03.2024 15:23:52:005;4,2
14.03.2024 15:23:52:082;4,2
14.03.2024 15:23:52:177;4,21
14.03.2024 15:23:52:254;4,21
14.03.2024 15:23:52:332;4,21
14.03.2024 15:23:52:411;4,23
14.03.2024 15:23:52:489;4,23
14.03.2024 15:23:52:567;4,23
14.03.2024 15:23:52:645;4,23
14.03.2024 15:23:52:723;4,25
14.03.2024 15:23:52:895;4,25
14.03.2024 15:23:52:974;4,25
14.03.2024 15:23:53:052;4,26
14.03.2024 15:23:53:130;4,26
14.03.2024 15:23:53:208;4,26
14.03.2024 15:23:53:286;4,27
14.03.2024 15:23:53:364;4,28
14.03.2024 15:23:53:442;4,28
14.03.2024 15:23:53:520;4,28
14.03.2024 15:23:53:599;4,29
14.03.2024 15:23:53:677;4,29
14.03.2024 15:23:53:755;4,3
14.03.2024 15:23:53:833;4,31
14.03.2024 15:23:53:989;4,31
14.03.2024 15:23:54:068;4,31
14.03.2024 15:23:54:146;4,33
14.03.2024 15:23:54:224;4,33
14.03.2024 15:23:54:302;4,33
14.03.2024 15:23:54:380;4,33
14.03.2024 15:23:54:458;4,34
14.03.2024 15:23:54:537;4,34
14.03.2024 15:23:54:615;4,35
14.03.2024 15:23:54:692;4,35
14.03.2024 15:23:54:771;4,36
14.03.2024 15:23:54:849;4,36
14.03.2024 15:23:54:927;4,36
14.03.2024 15:23:55:005;4,37
14.03.2024 15:23:55:084;4,37
14.03.2024 15:23:55:161;4,38
14.03.2024 15:23:55:240;4,38
14.03.2024 15:23:55:318;4,39
14.03.2024 15:23:55:474;4,39
14.03.2024 15:23:55:552;4,39
14.03.2024 15:23:55:630;4,4
14.03.2024 15:23:55:709;4,41
14.03.2024 15:23:55:865;4,41
14.03.2024 15:23:55:943;4,42
14.03.2024 15:23:56:021;4,43
14.03.2024 15:23:56:099;4,44
14.03.2024 15:23:56:177;4,44
14.03.2024 15:23:56:255;4,45
14.03.2024 15:23:56:334;4,44
14.03.2024 15:23:56:412;4,45
14.03.2024 15:23:56:490;4,45
14.03.2024 15:23:56:568;4,45
14.03.2024 15:23:56:646;4,46
14.03.2024 15:23:56:725;4,46
14.03.2024 15:23:56:803;4,47
14.03.2024 15:23:56:881;4,47
14.03.2024 15:23:56:959;4,48
14.03.2024 15:23:57:037;4,48
14.03.2024 15:23:57:115;4,49
14.03.2024 15:23:57:194;4,49
14.03.2024 15:23:57:350;4,49
14.03.2024 15:23:57:428;4,5
14.03.2024 15:23:57:506;4,5
14.03.2024 15:23:57:584;4,51
14.03.2024 15:23:57:741;4,51
14.03.2024 15:23:57:819;4,52
14.03.2024 15:23:57:897;4,52
14.03.2024 15:23:57:975;4,53
14.03.2024 15:23:58:131;4,53
14.03.2024 15:23:58:209;4,53
14.03.2024 15:23:58:287;4,55
14.03.2024 15:23:58:365;4,55
14.03.2024 15:23:58:444;4,56
14.03.2024 15:23:58:522;4,55
14.03.2024 15:23:58:600;4,57
14.03.2024 15:23:58:678;4,57
14.03.2024 15:23:58:757;4,57
14.03.2024 15:23:58:835;4,58
14.03.2024 15:23:58:913;4,58
14.03.2024 15:23:58:991;4,59
14.03.2024 15:23:59:147;4,59
14.03.2024 15:23:59:225;4,6
14.03.2024 15:23:59:303;4,61
14.03.2024 15:23:59:460;4,61
14.03.2024 15:23:59:538;4,62
14.03.2024 15:23:59:616;4,63
14.03.2024 15:23:59:694;4,64
14.03.2024 15:23:59:772;4,65
14.03.2024 15:23:59:851;4,65
14.03.2024 15:23:59:929;4,66
14.03.2024 15:24:00:007;4,66
14.03.2024 15:24:00:085;4,68
14.03.2024 15:24:00:163;4,69
14.03.2024 15:24:00:241;4,69
14.03.2024 15:24:00:319;4,69
14.03.2024 15:24:00:397;4,71
14.03.2024 15:24:00:475;4,72
14.03.2024 15:24:00:554;4,73
14.03.2024 15:24:00:632;4,73
14.03.2024 15:24:00:710;4,74
14.03.2024 15:24:00:788;4,74
14.03.2024 15:24:00:867;4,76
14.03.2024 15:24:00:945;4,77
14.03.2024 15:24:01:022;4,78
14.03.2024 15:24:01:101;4,79
14.03.2024 15:24:01:179;4,79
14.03.2024 15:24:01:257;4,79
14.03.2024 15:24:01:335;4,81
14.03.2024 15:24:01:413;4,82
14.03.2024 15:24:01:491;4,84
14.03.2024 15:24:01:570;4,84
14.03.2024 15:24:01:648;4,85
14.03.2024 15:24:01:726;4,85
14.03.2024 15:24:01:804;4,87
14.03.2024 15:24:01:882;4,87
14.03.2024 15:24:01:961;4,89
14.03.2024 15:24:02:038;4,9
14.03.2024 15:24:02:117;4,91
14.03.2024 15:24:02:195;4,92
14.03.2024 15:24:02:273;4,93
14.03.2024 15:24:02:351;4,94
14.03.2024 15:24:02:429;4,95
14.03.2024 15:24:02:507;4,97
14.03.2024 15:24:02:586;4,98
14.03.2024 15:24:02:664;4,99
14.03.2024 15:24:02:742;5
14.03.2024 15:24:02:820;5,01
14.03.2024 15:24:02:898;5,03
14.03.2024 15:24:02:976;5,03
14.03.2024 15:24:03:054;5,05
14.03.2024 15:24:03:133;5,06
14.03.2024 15:24:03:211;5,07
14.03.2024 15:24:03:289;5,08
14.03.2024 15:24:03:367;5,09
14.03.2024 15:24:03:445;5,11
14.03.2024 15:24:03:523;5,13
14.03.2024 15:24:03:602;5,13
14.03.2024 15:24:03:680;5,14
14.03.2024 15:24:03:758;5,16
14.03.2024 15:24:03:852;5,17
14.03.2024 15:24:03:930;5,18
14.03.2024 15:24:04:008;5,2
14.03.2024 15:24:04:086;5,21
14.03.2024 15:24:04:164;5,22
14.03.2024 15:24:04:242;5,23
14.03.2024 15:24:04:320;5,25
14.03.2024 15:24:04:398;5,26
14.03.2024 15:24:04:477;5,27
14.03.2024 15:24:04:555;5,27
14.03.2024 15:24:04:633;5,3
14.03.2024 15:24:04:711;5,3
14.03.2024 15:24:04:790;5,32
14.03.2024 15:24:04:868;5,33
14.03.2024 15:24:04:946;5,34
14.03.2024 15:24:05:024;5,35
14.03.2024 15:24:05:102;5,36
14.03.2024 15:24:05:180;5,37
14.03.2024 15:24:05:258;5,38
14.03.2024 15:24:05:336;5,38
14.03.2024 15:24:05:414;5,4
14.03.2024 15:24:05:493;5,4
14.03.2024 15:24:05:571;5,41
14.03.2024 15:24:05:649;5,43
14.03.2024 15:24:05:727;5,44
14.03.2024 15:24:05:805;5,45
14.03.2024 15:24:05:884;5,46
14.03.2024 15:24:05:977;5,48
14.03.2024 15:24:06:056;5,48
14.03.2024 15:24:06:134;5,49
14.03.2024 15:24:06:212;5,51
14.03.2024 15:24:06:290;5,51
14.03.2024 15:24:06:368;5,53
14.03.2024 15:24:06:446;5,54
14.03.2024 15:24:06:524;5,55
14.03.2024 15:24:06:603;5,56
14.03.2024 15:24:06:681;5,56
14.03.2024 15:24:06:790;5,57
14.03.2024 15:24:06:868;5,59
14.03.2024 15:24:06:946;5,59
14.03.2024 15:24:07:024;5,61
14.03.2024 15:24:07:103;5,62
14.03.2024 15:24:07:181;5,63
14.03.2024 15:24:07:259;5,64
14.03.2024 15:24:07:337;5,65
14.03.2024 15:24:07:415;5,65
14.03.2024 15:24:07:493;5,67
14.03.2024 15:24:07:571;5,67
14.03.2024 15:24:07:650;5,69
14.03.2024 15:24:07:728;5,69
14.03.2024 15:24:07:806;5,7
14.03.2024 15:24:07:884;5,71
14.03.2024 15:24:07:962;5,73
14.03.2024 15:24:08:041;5,73
14.03.2024 15:24:08:119;5,73
14.03.2024 15:24:08:197;5,75
14.03.2024 15:24:08:290;5,76
14.03.2024 15:24:08:368;5,77
14.03.2024 15:24:08:447;5,78
14.03.2024 15:24:08:525;5,78
14.03.2024 15:24:08:603;5,79
14.03.2024 15:24:08:681;5,8
14.03.2024 15:24:08:759;5,81
14.03.2024 15:24:08:838;5,82
14.03.2024 15:24:08:916;5,83
14.03.2024 15:24:08:994;5,83
14.03.2024 15:24:09:072;5,85
14.03.2024 15:24:09:150;5,85
14.03.2024 15:24:09:228;5,86
14.03.2024 15:24:09:306;5,88
14.03.2024 15:24:09:385;5,88
14.03.2024 15:24:09:463;5,89
14.03.2024 15:24:09:541;5,9
14.03.2024 15:24:09:619;5,91
14.03.2024 15:24:09:697;5,91
14.03.2024 15:24:09:775;5,93
14.03.2024 15:24:09:854;5,93
14.03.2024 15:24:09:931;5,93
14.03.2024 15:24:10:009;5,94
14.03.2024 15:24:10:166;5,97
14.03.2024 15:24:10:244;5,97
14.03.2024 15:24:10:322;5,99
14.03.2024 15:24:10:400;5,99
14.03.2024 15:24:10:478;6
14.03.2024 15:24:10:557;6,01
14.03.2024 15:24:10:635;6,02
14.03.2024 15:24:10:713;6,02
14.03.2024 15:24:10:791;6,04
14.03.2024 15:24:10:869;6,04
14.03.2024 15:24:10:947;6,04
14.03.2024 15:24:11:025;6,06
14.03.2024 15:24:11:104;6,07
14.03.2024 15:24:11:182;6,08
14.03.2024 15:24:11:260;6,09
14.03.2024 15:24:11:338;6,1
14.03.2024 15:24:11:416;6,11
14.03.2024 15:24:11:494;6,12
14.03.2024 15:24:11:573;6,13
14.03.2024 15:24:11:651;6,13
14.03.2024 15:24:11:729;6,15
14.03.2024 15:24:11:807;6,15
14.03.2024 15:24:11:885;6,15
14.03.2024 15:24:11:964;6,17
14.03.2024 15:24:12:057;6,17
14.03.2024 15:24:12:135;6,18
14.03.2024 15:24:12:214;6,19
14.03.2024 15:24:12:292;6,19
14.03.2024 15:24:12:370;6,2
14.03.2024 15:24:12:448;6,21
14.03.2024 15:24:12:526;6,21
14.03.2024 15:24:12:620;6,23
14.03.2024 15:24:12:698;6,24
14.03.2024 15:24:12:776;6,25
14.03.2024 15:24:12:854;6,25
14.03.2024 15:24:12:933;6,26
14.03.2024 15:24:13:010;6,26
14.03.2024 15:24:13:089;6,28
14.03.2024 15:24:13:167;6,28
14.03.2024 15:24:13:245;6,29
14.03.2024 15:24:13:323;6,29
14.03.2024 15:24:13:401;6,31
14.03.2024 15:24:13:479;6,31
14.03.2024 15:24:13:557;6,32
14.03.2024 15:24:13:636;6,33
14.03.2024 15:24:13:714;6,33
14.03.2024 15:24:13:792;6,34
14.03.2024 15:24:13:949;6,34
14.03.2024 15:24:14:042;6,36
14.03.2024 15:24:14:120;6,37
14.03.2024 15:24:14:199;6,38
14.03.2024 15:24:14:276;6,38
14.03.2024 15:24:14:355;6,39
14.03.2024 15:24:14:433;6,39
14.03.2024 15:24:14:511;6,4
14.03.2024 15:24:14:589;6,41
14.03.2024 15:24:14:667;6,42
14.03.2024 15:24:14:745;6,42
14.03.2024 15:24:14:824;6,43
14.03.2024 15:24:14:902;6,44
14.03.2024 15:24:14:980;6,44
14.03.2024 15:24:15:058;6,45
14.03.2024 15:24:15:136;6,45
14.03.2024 15:24:15:215;6,46
14.03.2024 15:24:15:292;6,47
14.03.2024 15:24:15:370;6,47
14.03.2024 15:24:15:449;6,48
14.03.2024 15:24:15:527;6,49
14.03.2024 15:24:15:605;6,5
14.03.2024 15:24:15:683;6,51
14.03.2024 15:24:15:762;6,51
14.03.2024 15:24:15:855;6,52
14.03.2024 15:24:15:934;6,53
14.03.2024 15:24:16:011;6,53
14.03.2024 15:24:16:091;6,55
14.03.2024 15:24:16:184;6,55
14.03.2024 15:24:16:262;6,57
14.03.2024 15:24:16:340;6,57
14.03.2024 15:24:16:418;6,58
14.03.2024 15:24:16:496;6,58
14.03.2024 15:24:16:574;6,59
14.03.2024 15:24:16:652;6,6
14.03.2024 15:24:16:731;6,61
14.03.2024 15:24:16:809;6,62
14.03.2024 15:24:16:887;6,63
14.03.2024 15:24:16:965;6,63
14.03.2024 15:24:17:043;6,65
14.03.2024 15:24:17:121;6,65
14.03.2024 15:24:17:199;6,66
14.03.2024 15:24:17:277;6,67
14.03.2024 15:24:17:355;6,68
14.03.2024 15:24:17:434;6,69
14.03.2024 15:24:17:512;6,69
14.03.2024 15:24:17:590;6,7
14.03.2024 15:24:17:668;6,7
14.03.2024 15:24:17:747;6,72
14.03.2024 15:24:17:825;6,73
14.03.2024 15:24:17:903;6,74
14.03.2024 15:24:17:981;6,75
14.03.2024 15:24:18:059;6,76
14.03.2024 15:24:18:137;6,77
14.03.2024 15:24:18:215;6,77
14.03.2024 15:24:18:293;6,78
14.03.2024 15:24:18:371;6,79
14.03.2024 15:24:18:450;6,8
14.03.2024 15:24:18:528;6,81
14.03.2024 15:24:18:606;6,81
14.03.2024 15:24:18:684;6,82
14.03.2024 15:24:18:762;6,83
14.03.2024 15:24:18:841;6,84
14.03.2024 15:24:18:919;6,85
14.03.2024 15:24:18:997;6,85
14.03.2024 15:24:19:106;6,87
14.03.2024 15:24:19:185;6,87
14.03.2024 15:24:19:262;6,88
14.03.2024 15:24:19:340;6,89
14.03.2024 15:24:19:419;6,9
14.03.2024 15:24:19:497;6,91
14.03.2024 15:24:19:575;6,92
14.03.2024 15:24:19:669;6,93
14.03.2024 15:24:19:747;6,93
14.03.2024 15:24:19:825;6,95
14.03.2024 15:24:19:903;6,95
14.03.2024 15:24:19:982;6,97
14.03.2024 15:24:20:059;6,98
14.03.2024 15:24:20:138;6,98
14.03.2024 15:24:20:216;7
14.03.2024 15:24:20:294;7
14.03.2024 15:24:20:372;7,01
14.03.2024 15:24:20:450;7,02
14.03.2024 15:24:20:528;7,04
14.03.2024 15:24:20:607;7,04
14.03.2024 15:24:20:685;7,06
14.03.2024 15:24:20:763;7,06
14.03.2024 15:24:20:841;7,07
14.03.2024 15:24:20:919;7,09
14.03.2024 15:24:20:998;7,11
14.03.2024 15:24:21:076;7,11
14.03.2024 15:24:21:169;7,13
14.03.2024 15:24:21:248;7,14
14.03.2024 15:24:21:325;7,16
14.03.2024 15:24:21:404;7,17
14.03.2024 15:24:21:482;7,2
14.03.2024 15:24:21:560;7,21
14.03.2024 15:24:21:638;7,24
14.03.2024 15:24:21:716;7,25
14.03.2024 15:24:21:794;7,27
14.03.2024 15:24:21:873;7,29
14.03.2024 15:24:21:951;7,31
14.03.2024 15:24:22:029;7,33
14.03.2024 15:24:22:107;7,35
14.03.2024 15:24:22:185;7,37
14.03.2024 15:24:22:263;7,38
14.03.2024 15:24:22:341;7,4
14.03.2024 15:24:22:419;7,41
14.03.2024 15:24:22:498;7,44
14.03.2024 15:24:22:576;7,45
14.03.2024 15:24:22:654;7,47
14.03.2024 15:24:22:732;7,49
14.03.2024 15:24:22:826;7,51
14.03.2024 15:24:22:904;7,54
14.03.2024 15:24:22:982;7,56
14.03.2024 15:24:23:060;7,57
14.03.2024 15:24:23:154;7,59
14.03.2024 15:24:23:233;7,62
14.03.2024 15:24:23:326;7,64
14.03.2024 15:24:23:404;7,66
14.03.2024 15:24:23:483;7,67
14.03.2024 15:24:23:560;7,69
14.03.2024 15:24:23:639;7,7
14.03.2024 15:24:23:717;7,72
14.03.2024 15:24:23:795;7,75
14.03.2024 15:24:23:873;7,77
14.03.2024 15:24:23:952;7,78
14.03.2024 15:24:24:030;7,8
14.03.2024 15:24:24:108;7,81
14.03.2024 15:24:24:186;7,83
14.03.2024 15:24:24:264;7,85
14.03.2024 15:24:24:342;7,86
14.03.2024 15:24:24:420;7,87
14.03.2024 15:24:24:498;7,89
14.03.2024 15:24:24:576;7,89
14.03.2024 15:24:24:655;7,91
14.03.2024 15:24:24:733;7,93
14.03.2024 15:24:24:811;7,94
14.03.2024 15:24:24:889;7,96
14.03.2024 15:24:24:967;7,97
14.03.2024 15:24:25:045;7,99
14.03.2024 15:24:25:124;8
14.03.2024 15:24:25:202;8,02
14.03.2024 15:24:25:280;8,03
14.03.2024 15:24:25:358;8,05
14.03.2024 15:24:25:436;8,05
14.03.2024 15:24:25:514;8,07
14.03.2024 15:24:25:592;8,09
14.03.2024 15:24:25:670;8,1
14.03.2024 15:24:25:749;8,12
14.03.2024 15:24:25:827;8,12
14.03.2024 15:24:25:921;8,14
14.03.2024 15:24:25:999;8,15
14.03.2024 15:24:26:077;8,18
14.03.2024 15:24:26:155;8,18
14.03.2024 15:24:26:233;8,2
14.03.2024 15:24:26:311;8,2
14.03.2024 15:24:26:389;8,23
14.03.2024 15:24:26:468;8,23
14.03.2024 15:24:26:546;8,25
14.03.2024 15:24:26:624;8,26
14.03.2024 15:24:26:702;8,28
14.03.2024 15:24:26:781;8,29
14.03.2024 15:24:26:874;8,31
14.03.2024 15:24:26:952;8,31
14.03.2024 15:24:27:030;8,33
14.03.2024 15:24:27:109;8,34
14.03.2024 15:24:27:187;8,34
14.03.2024 15:24:27:265;8,36
14.03.2024 15:24:27:343;8,37
14.03.2024 15:24:27:421;8,38
14.03.2024 15:24:27:499;8,39
14.03.2024 15:24:27:577;8,4
14.03.2024 15:24:27:655;8,41
14.03.2024 15:24:27:734;8,42
14.03.2024 15:24:27:812;8,43
14.03.2024 15:24:27:890;8,44
14.03.2024 15:24:27:968;8,45
14.03.2024 15:24:28:046;8,45
14.03.2024 15:24:28:125;8,47
14.03.2024 15:24:28:203;8,48
14.03.2024 15:24:28:281;8,5
14.03.2024 15:24:28:359;8,5
14.03.2024 15:24:28:437;8,51
14.03.2024 15:24:28:515;8,52
14.03.2024 15:24:28:593;8,53
14.03.2024 15:24:28:672;8,54
14.03.2024 15:24:28:750;8,54
14.03.2024 15:24:28:828;8,56
14.03.2024 15:24:28:922;8,56
14.03.2024 15:24:29:000;8,57
14.03.2024 15:24:29:078;8,57
14.03.2024 15:24:29:156;8,57
14.03.2024 15:24:29:234;8,58
14.03.2024 15:24:29:312;8,58
14.03.2024 15:24:29:390;8,58
14.03.2024 15:24:29:469;8,58
14.03.2024 15:24:29:547;8,58
14.03.2024 15:24:29:781;8,58
14.03.2024 15:24:29:859;8,59
14.03.2024 15:24:29:938;8,59
14.03.2024 15:24:30:016;8,58
14.03.2024 15:24:30:172;8,59
14.03.2024 15:24:30:250;8,59
14.03.2024 15:24:30:328;8,6
14.03.2024 15:24:30:406;8,59
14.03.2024 15:24:30:484;8,6
14.03.2024 15:24:30:563;8,6
14.03.2024 15:24:30:719;8,6
14.03.2024 15:24:30:797;8,6
14.03.2024 15:24:30:875;8,6
14.03.2024 15:24:31:032;8,6
14.03.2024 15:24:31:110;8,6
14.03.2024 15:24:31:188;8,61
14.03.2024 15:24:31:266;8,61
14.03.2024 15:24:31:344;8,61
14.03.2024 15:24:31:422;8,61
14.03.2024 15:24:31:735;8,61
14.03.2024 15:24:31:813;8,61
14.03.2024 15:24:31:892;8,61
14.03.2024 15:24:31:985;8,61
14.03.2024 15:24:32:063;8,61
14.03.2024 15:24:32:141;8,61
14.03.2024 15:24:32:220;8,62
14.03.2024 15:24:32:313;8,62
14.03.2024 15:24:32:391;8,61
14.03.2024 15:24:32:469;8,62
14.03.2024 15:24:32:626;8,62
14.03.2024 15:24:32:704;8,63
14.03.2024 15:24:32:782;8,63
14.03.2024 15:24:32:860;8,63
14.03.2024 15:24:32:938;8,63
14.03.2024 15:24:33:017;8,63
14.03.2024 15:24:33:110;8,63
14.03.2024 15:24:33:189;8,63
14.03.2024 15:24:33:267;8,63
14.03.2024 15:24:33:657;8,63
14.03.2024 15:24:33:736;8,64
14.03.2024 15:24:33:830;8,64
14.03.2024 15:24:33:923;8,65
14.03.2024 15:24:34:001;8,66
14.03.2024 15:24:34:079;8,66
14.03.2024 15:24:34:158;8,66
14.03.2024 15:24:34:251;8,67
14.03.2024 15:24:34:330;8,68
14.03.2024 15:24:34:407;8,68
14.03.2024 15:24:34:486;8,69
14.03.2024 15:24:34:564;8,69
14.03.2024 15:24:34:642;8,69
14.03.2024 15:24:34:720;8,71
14.03.2024 15:24:34:798;8,71
14.03.2024 15:24:34:877;8,71
14.03.2024 15:24:34:971;8,71
14.03.2024 15:24:35:049;8,73
14.03.2024 15:24:35:127;8,74
14.03.2024 15:24:35:205;8,74
14.03.2024 15:24:35:283;8,75
14.03.2024 15:24:35:361;8,76
14.03.2024 15:24:35:439;8,76
14.03.2024 15:24:35:517;8,77
14.03.2024 15:24:35:595;8,79
14.03.2024 15:24:35:673;8,79
14.03.2024 15:24:35:752;8,8
14.03.2024 15:24:35:830;8,81
14.03.2024 15:24:35:908;8,82
14.03.2024 15:24:35:986;8,82
14.03.2024 15:24:36:064;8,84
14.03.2024 15:24:36:143;8,84
14.03.2024 15:24:36:221;8,85
14.03.2024 15:24:36:299;8,86
14.03.2024 15:24:36:377;8,87
14.03.2024 15:24:36:455;8,87
14.03.2024 15:24:36:533;8,87
14.03.2024 15:24:36:611;8,88
14.03.2024 15:24:36:690;8,89
14.03.2024 15:24:36:768;8,9
14.03.2024 15:24:36:846;8,92
14.03.2024 15:24:36:924;8,92
14.03.2024 15:24:37:002;8,93
14.03.2024 15:24:37:080;8,94
14.03.2024 15:24:37:159;8,95
14.03.2024 15:24:37:237;8,97
14.03.2024 15:24:37:315;8,98
14.03.2024 15:24:37:408;8,99
14.03.2024 15:24:37:486;9,01
14.03.2024 15:24:37:565;9,01
14.03.2024 15:24:37:643;9,03
14.03.2024 15:24:37:737;9,04
14.03.2024 15:24:37:815;9,04
14.03.2024 15:24:37:893;9,06
14.03.2024 15:24:37:971;9,07
14.03.2024 15:24:38:049;9,09
14.03.2024 15:24:38:143;9,1
14.03.2024 15:24:38:221;9,12
14.03.2024 15:24:38:299;9,13
14.03.2024 15:24:38:377;9,14
14.03.2024 15:24:38:455;9,16
14.03.2024 15:24:38:534;9,17
14.03.2024 15:24:38:612;9,19
14.03.2024 15:24:38:690;9,2
14.03.2024 15:24:38:768;9,21
14.03.2024 15:24:38:846;9,22
14.03.2024 15:24:38:925;9,24
14.03.2024 15:24:39:003;9,27
14.03.2024 15:24:39:159;9,29
14.03.2024 15:24:39:237;9,3
14.03.2024 15:24:39:315;9,31
14.03.2024 15:24:39:393;9,33
14.03.2024 15:24:39:471;9,34
14.03.2024 15:24:39:550;9,35
14.03.2024 15:24:39:628;9,37
14.03.2024 15:24:39:706;9,37
14.03.2024 15:24:39:784;9,38
14.03.2024 15:24:39:863;9,4
14.03.2024 15:24:39:956;9,42
14.03.2024 15:24:40:034;9,43
14.03.2024 15:24:40:112;9,45
14.03.2024 15:24:40:191;9,45
14.03.2024 15:24:40:269;9,47
14.03.2024 15:24:40:347;9,48
14.03.2024 15:24:40:425;9,49
14.03.2024 15:24:40:503;9,51
14.03.2024 15:24:40:581;9,52
14.03.2024 15:24:40:659;9,53
14.03.2024 15:24:40:737;9,54
14.03.2024 15:24:40:816;9,55
14.03.2024 15:24:40:894;9,56
14.03.2024 15:24:40:988;9,57
14.03.2024 15:24:41:066;9,59
14.03.2024 15:24:41:144;9,6
14.03.2024 15:24:41:222;9,61
14.03.2024 15:24:41:301;9,62
14.03.2024 15:24:41:378;9,64
14.03.2024 15:24:41:456;9,65
14.03.2024 15:24:41:535;9,65
14.03.2024 15:24:41:613;9,67
14.03.2024 15:24:41:691;9,68
14.03.2024 15:24:41:769;9,69
14.03.2024 15:24:41:848;9,7
14.03.2024 15:24:41:926;9,71
14.03.2024 15:24:42:004;9,72
14.03.2024 15:24:42:082;9,73
14.03.2024 15:24:42:176;9,75
14.03.2024 15:24:42:254;9,75
14.03.2024 15:24:42:348;9,78
14.03.2024 15:24:42:425;9,78
14.03.2024 15:24:42:504;9,78
14.03.2024 15:24:42:582;9,81
14.03.2024 15:24:42:660;9,81
14.03.2024 15:24:42:738;9,83
14.03.2024 15:24:42:816;9,83
14.03.2024 15:24:42:894;9,84
14.03.2024 15:24:42:973;9,85
14.03.2024 15:24:43:051;9,86
14.03.2024 15:24:43:129;9,87
14.03.2024 15:24:43:207;9,88
14.03.2024 15:24:43:285;9,89
14.03.2024 15:24:43:363;9,89
14.03.2024 15:24:43:441;9,9
14.03.2024 15:24:43:519;9,91
14.03.2024 15:24:43:598;9,92
14.03.2024 15:24:43:676;9,93
